id,compound,predicate,object,pmid,created_at,updated_at
9885,12-o-tetradecanoylphorbol-13-acetate,isa,phorbol ester,1475278,2014-12-30 02:18:49.265036,2014-12-30 02:18:49.265036
8076,5-fu,isa,chemotherapeutic agents,22751419,2014-12-30 02:18:07.331716,2014-12-30 02:18:07.331716
11384,5-lipoxygenase inhibitor,neg_affects,leukopenia,7846692,2014-12-30 02:19:16.155374,2014-12-30 02:19:16.155374
11385,5-lipoxygenase inhibitor,neg_affects,thrombocytopenia,7846692,2014-12-30 02:19:16.160463,2014-12-30 02:19:16.160463
10810,5-meo-dmt,causes,hypoactivity,22222861,2014-12-30 02:19:10.507857,2014-12-30 02:19:10.507857
10811,5-meo-dmt,compared_with,monoamine oxidase inhibitor,22222861,2014-12-30 02:19:10.517463,2014-12-30 02:19:10.517463
10137,7-chlorokynurenic acid,prevents,convulsions,12457877,2014-12-30 02:18:54.95303,2014-12-30 02:18:54.95303
8805,aaa,associated_with,ache,19695303,2014-12-30 02:18:26.358845,2014-12-30 02:18:26.358845
10483,ab,interacts_with,venom,19429250,2014-12-30 02:19:03.218266,2014-12-30 02:19:03.218266
9002,abv,administered_to,experimental animals,15057338,2014-12-30 02:18:30.928188,2014-12-30 02:18:30.928188
8931,abv,part_of,animals,8054829,2014-12-30 02:18:29.053821,2014-12-30 02:18:29.053821
10529,ac 2993,stimulates,glucagon-like peptide-1,14725490,2014-12-30 02:19:04.362889,2014-12-30 02:19:04.362889
10273,ace inhibitors,inhibits,angiotensin ii receptor,16569814,2014-12-30 02:18:57.205774,2014-12-30 02:18:57.205774
10274,ace inhibitors,inhibits,angiotensin ii,16569814,2014-12-30 02:18:57.24482,2014-12-30 02:18:57.24482
11562,acetylcholine antagonists,treats,rodent pain models,16539838,2014-12-30 02:19:17.868981,2014-12-30 02:19:17.868981
9757,acetylcholine receptor,part_of,muscle,2345558,2014-12-30 02:18:46.084543,2014-12-30 02:18:46.084543
9765,acetylcholine receptor,part_of,torpedo,8390605,2014-12-30 02:18:46.297156,2014-12-30 02:18:46.297156
