id,venom,effect,pmid,created_at,updated_at
1,ceruletide,tachyphylaxis,11996,2014-12-30 01:38:19.567117,2014-12-30 01:38:19.567117
2,ceruletide,gastric secretion,11996,2014-12-30 01:38:19.584778,2014-12-30 01:38:19.584778
3,ceruletide,pancreatitis,2717605,2014-12-30 01:38:19.592395,2014-12-30 01:38:19.592395
4,ceruletide,pancreatic secretion,3438303,2014-12-30 01:38:19.600076,2014-12-30 01:38:19.600076
5,ceruletide,necrosis,20923958,2014-12-30 01:38:19.607874,2014-12-30 01:38:19.607874
6,ceruletide,obesity,20923958,2014-12-30 01:38:19.614795,2014-12-30 01:38:19.614795
7,ceruletide,pancreatitis,20923958,2014-12-30 01:38:19.621853,2014-12-30 01:38:19.621853
8,ceruletide,vacuolation,20923958,2014-12-30 01:38:19.62914,2014-12-30 01:38:19.62914
9,ceruletide,acute inflammation,20923958,2014-12-30 01:38:19.636175,2014-12-30 01:38:19.636175
10,ceruletide,acute pancreatitis,21939783,2014-12-30 01:38:19.643067,2014-12-30 01:38:19.643067
11,ceruletide,pancreatitis,21939783,2014-12-30 01:38:19.652339,2014-12-30 01:38:19.652339
12,ceruletide,acute pancreatitis,23918150,2014-12-30 01:38:19.658964,2014-12-30 01:38:19.658964
13,bombesin,tachyphylaxis,11996,2014-12-30 01:38:19.665916,2014-12-30 01:38:19.665916
14,bombesin,gastric secretion,11996,2014-12-30 01:38:19.672564,2014-12-30 01:38:19.672564
15,bombesin,gastric acid secretion,367854,2014-12-30 01:38:19.680558,2014-12-30 01:38:19.680558
16,bombesin,renal blood flow,1012339,2014-12-30 01:38:19.687647,2014-12-30 01:38:19.687647
17,bombesin,glomerular filtration,1012339,2014-12-30 01:38:19.694917,2014-12-30 01:38:19.694917
18,bombesin,hypoxia,1012339,2014-12-30 01:38:19.702133,2014-12-30 01:38:19.702133
19,bombesin,blood pressure,1204836,2014-12-30 01:38:19.708771,2014-12-30 01:38:19.708771
20,bombesin,tachyphylaxis,1204836,2014-12-30 01:38:19.71567,2014-12-30 01:38:19.71567
21,bombesin,vasospasm,1204836,2014-12-30 01:38:19.722368,2014-12-30 01:38:19.722368
22,bombesin,hypertensive disorder,1204836,2014-12-30 01:38:19.729379,2014-12-30 01:38:19.729379
23,bombesin,hypertension,1204836,2014-12-30 01:38:19.736218,2014-12-30 01:38:19.736218
24,bombesin,depression,1324941,2014-12-30 01:38:19.74377,2014-12-30 01:38:19.74377
25,bombesin,depressive disorder,1324941,2014-12-30 01:38:19.751219,2014-12-30 01:38:19.751219
26,bombesin,malignant neoplastic disease,1363977,2014-12-30 01:38:19.758156,2014-12-30 01:38:19.758156
27,bombesin,neoplasm; malignant (primary),1363977,2014-12-30 01:38:19.765928,2014-12-30 01:38:19.765928
28,bombesin,neoplasm,1373071,2014-12-30 01:38:19.865061,2014-12-30 01:38:19.865061
29,bombesin,below expected growth rate,1373071,2014-12-30 01:38:19.874134,2014-12-30 01:38:19.874134
30,bombesin,small cell carcinoma of lung,1373071,2014-12-30 01:38:19.881894,2014-12-30 01:38:19.881894
31,bombesin,carcinoma,1373071,2014-12-30 01:38:19.889071,2014-12-30 01:38:19.889071
32,bombesin,malignant neoplastic disease,1376910,2014-12-30 01:38:19.89614,2014-12-30 01:38:19.89614
33,bombesin,neoplasm,1376910,2014-12-30 01:38:19.904161,2014-12-30 01:38:19.904161
34,bombesin,neoplasm; malignant (primary),1376910,2014-12-30 01:38:19.911079,2014-12-30 01:38:19.911079
35,bombesin,carcinoma,1376910,2014-12-30 01:38:19.919406,2014-12-30 01:38:19.919406
36,bombesin,neoplasm,1460673,2014-12-30 01:38:19.92665,2014-12-30 01:38:19.92665
37,bombesin,malignant tumor of breast,1460673,2014-12-30 01:38:19.93376,2014-12-30 01:38:19.93376
38,bombesin,food intake,1494500,2014-12-30 01:38:19.941325,2014-12-30 01:38:19.941325
39,bombesin,touch sensation; function,1515936,2014-12-30 01:38:19.948792,2014-12-30 01:38:19.948792
40,bombesin,vocalization,1515936,2014-12-30 01:38:19.956362,2014-12-30 01:38:19.956362
41,bombesin,malignant tumor of pancreas,1682039,2014-12-30 01:38:19.96601,2014-12-30 01:38:19.96601
42,bombesin,neoplasm,1682039,2014-12-30 01:38:19.974248,2014-12-30 01:38:19.974248
43,bombesin,neoplasm,1682040,2014-12-30 01:38:19.981917,2014-12-30 01:38:19.981917
