child,relation,parent
GO:0004252,is_a,GO:0004175
GO:0004252,is_a,GO:0008236
GO:0007599,is_a,GO:0050878
GO:0046434,is_a,GO:0019637
GO:0046434,is_a,GO:1901575
GO:0051046,is_a,GO:0051049
GO:0051046,regulates,GO:0046903
GO:0051047,positively_regulates,GO:0046903
GO:0051047,is_a,GO:0051046
GO:0051047,is_a,GO:0051050
GO:0051049,is_a,GO:0032879
GO:0051049,regulates,GO:0006810
GO:0007596,is_a,GO:0050817
GO:0007596,is_a,GO:0007599
GO:0007596,part_of,GO:0042060
GO:0033655,part_of,GO:0030430
GO:0033655,is_a,GO:0033646
GO:0009166,is_a,GO:1901292
GO:0009166,is_a,GO:0009117
GO:0003796,is_a,GO:0061783
GO:0003796,is_a,GO:0004553
GO:0002705,is_a,GO:0002699
GO:0002705,positively_regulates,GO:0002443
GO:0002705,is_a,GO:0002703
GO:0009165,is_a,GO:0009117
GO:0009165,is_a,GO:1901293
GO:0002703,is_a,GO:0002697
GO:0002703,regulates,GO:0002443
GO:0044281,is_a,GO:0008152
GO:0001507,is_a,GO:0006581
GO:0001507,part_of,GO:0007271
GO:0019220,is_a,GO:0051174
GO:0019220,regulates,GO:0006796
GO:0044325,is_a,GO:0005515
GO:0098772,part_of,GO:0065009
GO:0098772,is_a,GO:0003674
GO:0051715,is_a,GO:0019835
GO:0051715,is_a,GO:0044764
GO:0051715,is_a,GO:0031640
GO:0051716,is_a,GO:0050896
GO:0051716,is_a,GO:0009987
GO:0044492,is_a,GO:0044560
GO:0043207,is_a,GO:0009607
GO:0043207,is_a,GO:0009605
GO:0044551,is_a,GO:0044500
GO:0044553,is_a,GO:0035821
GO:0018212,is_a,GO:0018193
GO:0044555,is_a,GO:0010459
GO:0044555,is_a,GO:0044554
GO:0000166,is_a,GO:0036094
GO:0000166,is_a,GO:1901265
GO:0004713,part_of,GO:0018108
GO:0004713,is_a,GO:0004672
GO:0009190,is_a,GO:0009165
GO:0009190,is_a,GO:0009187
GO:0048585,is_a,GO:0048519
GO:0048585,negatively_regulates,GO:0050896
GO:0048585,is_a,GO:0048583
GO:0098662,is_a,GO:0098655
GO:0098662,is_a,GO:0098660
GO:0030594,is_a,GO:0038023
GO:0010605,is_a,GO:0060255
GO:0010605,is_a,GO:0009892
GO:0010605,negatively_regulates,GO:0043170
GO:0017171,is_a,GO:0016787
GO:0015849,is_a,GO:0071702
GO:0045859,is_a,GO:0001932
GO:0045859,is_a,GO:0043549
GO:0045859,regulates,GO:0004672
GO:0050832,is_a,GO:0009620
GO:0050832,is_a,GO:0098542
GO:0050830,is_a,GO:0042742
GO:0030550,is_a,GO:0030547
GO:0030550,is_a,GO:0030548
GO:0030550,negatively_regulates,GO:0015464
GO:0050678,is_a,GO:0042127
GO:0050678,regulates,GO:0050673
GO:0061783,is_a,GO:0003824
GO:0046483,is_a,GO:0044237
GO:0042325,regulates,GO:0016310
GO:0042325,is_a,GO:0019220
GO:0042327,is_a,GO:0042325
GO:0042327,positively_regulates,GO:0016310
GO:0042327,is_a,GO:0045937
GO:0044359,is_a,GO:0035821
GO:0044217,is_a,GO:0005575
GO:0044217,part_of,GO:0044215
GO:0044216,is_a,GO:0044217
GO:0009605,is_a,GO:0050896
GO:0019538,is_a,GO:0044238
GO:0019538,is_a,GO:1901564
GO:0019538,is_a,GO:0043170
GO:1900619,is_a,GO:0071704
GO:0016810,is_a,GO:0016787
GO:0044218,is_a,GO:0044279
GO:0044218,part_of,GO:0044216
GO:0017186,is_a,GO:0018199
GO:0072556,is_a,GO:0044218
GO:0051781,is_a,GO:0051302
GO:0051781,positively_regulates,GO:0051301
GO:0051781,is_a,GO:0048522
GO:0045822,negatively_regulates,GO:0060047
GO:0045822,is_a,GO:1903523
GO:0045822,is_a,GO:0008016
GO:0044424,is_a,GO:0044464
GO:0044424,part_of,GO:0005622
GO:0004623,is_a,GO:0004620
GO:0004623,is_a,GO:0052689
GO:0004620,is_a,GO:0016298
GO:0044421,is_a,GO:0005575
GO:0044421,part_of,GO:0005576
GO:0003993,is_a,GO:0016791
GO:0001505,is_a,GO:0065008
GO:0009896,is_a,GO:0009894
GO:0009896,positively_regulates,GO:0009056
GO:0009896,is_a,GO:0009893
GO:0009894,regulates,GO:0009056
GO:0009894,is_a,GO:0019222
GO:0009892,is_a,GO:0048519
GO:0009892,negatively_regulates,GO:0008152
GO:0009892,is_a,GO:0019222
GO:0009893,is_a,GO:0048518
GO:0009893,positively_regulates,GO:0008152
GO:0009893,is_a,GO:0019222
GO:0032412,regulates,GO:0015075
GO:0032412,is_a,GO:0034765
GO:0032412,is_a,GO:0022898
GO:0009891,positively_regulates,GO:0009058
GO:0009891,is_a,GO:0009889
GO:0009891,is_a,GO:0009893
GO:0060300,regulates,GO:0005125
GO:0060300,is_a,GO:1900120
GO:0032418,is_a,GO:0051640
GO:0001952,regulates,GO:0007160
GO:0001952,is_a,GO:0010810
GO:1903391,regulates,GO:0034332
GO:1903391,is_a,GO:0051128
GO:0005488,is_a,GO:0003674
GO:1903393,is_a,GO:0051130
GO:1903393,positively_regulates,GO:0034332
GO:1903393,is_a,GO:1903391
GO:1905030,part_of,GO:0060078
GO:1905030,is_a,GO:0005244
GO:0050789,regulates,GO:0008150
GO:0050789,is_a,GO:0065007
GO:1901265,is_a,GO:0097159
GO:1901265,is_a,GO:1901363
GO:0008191,negatively_regulates,GO:0004222
GO:0008191,is_a,GO:0004866
GO:0051656,is_a,GO:0051234
GO:0051656,is_a,GO:0051640
GO:0016603,is_a,GO:0016755
GO:0051346,is_a,GO:0051336
GO:0051346,negatively_regulates,GO:0016787
GO:0051346,is_a,GO:0043086
GO:0051345,is_a,GO:0051336
GO:0051345,positively_regulates,GO:0016787
GO:0051345,is_a,GO:0043085
GO:0010646,regulates,GO:0007154
GO:0010646,is_a,GO:0050794
GO:0006887,is_a,GO:0032940
GO:0006887,is_a,GO:0016192
GO:1901363,is_a,GO:0005488
GO:0002687,is_a,GO:0030335
GO:0002687,is_a,GO:0002685
GO:0002687,positively_regulates,GO:0050900
GO:0002687,is_a,GO:0002684
GO:0002684,positively_regulates,GO:0002376
GO:0002684,is_a,GO:0048518
GO:0002684,is_a,GO:0002682
GO:0002685,regulates,GO:0050900
GO:0002685,is_a,GO:0030334
GO:0002685,is_a,GO:0002682
GO:0002682,regulates,GO:0002376
GO:0002682,is_a,GO:0050789
GO:1901360,is_a,GO:0071704
GO:1903307,is_a,GO:0045921
GO:1903307,is_a,GO:1903305
GO:1903307,positively_regulates,GO:0045055
GO:0055085,is_a,GO:0006810
GO:1903305,regulates,GO:0045055
GO:1903305,is_a,GO:0017157
GO:1900116,is_a,GO:0009968
GO:1900116,is_a,GO:1900115
GO:1900115,is_a,GO:0009966
GO:0016787,is_a,GO:0003824
GO:0006629,is_a,GO:0044238
GO:0006629,is_a,GO:0071704
GO:0044559,is_a,GO:0044560
GO:0098609,is_a,GO:0007155
GO:0009889,regulates,GO:0009058
GO:0009889,is_a,GO:0019222
GO:0051240,is_a,GO:0048518
GO:0051240,positively_regulates,GO:0032501
GO:0051240,is_a,GO:0051239
GO:0044493,is_a,GO:0044492
GO:0016788,is_a,GO:0016787
GO:0009260,is_a,GO:0009165
GO:0009260,is_a,GO:0046390
GO:0009260,is_a,GO:0009259
GO:0043412,is_a,GO:0043170
GO:1903522,regulates,GO:0008015
GO:1903522,is_a,GO:0044057
GO:1903523,negatively_regulates,GO:0008015
GO:1903523,is_a,GO:0051241
GO:1903523,is_a,GO:1903522
GO:0002526,is_a,GO:0006954
GO:0035821,is_a,GO:0044419
GO:0016070,is_a,GO:0090304
GO:0016070,is_a,GO:0044260
GO:0016779,is_a,GO:0016772
GO:0019855,is_a,GO:0005246
GO:0019855,is_a,GO:0008200
GO:0019855,negatively_regulates,GO:0005262
GO:0016773,is_a,GO:0016772
GO:0016772,is_a,GO:0016740
GO:0002353,is_a,GO:0002254
GO:0030574,is_a,GO:0044243
GO:0030574,is_a,GO:0009056
GO:0030574,is_a,GO:0032963
GO:0007600,is_a,GO:0050877
GO:0004531,is_a,GO:0016889
GO:0015075,is_a,GO:0022891
GO:0015075,part_of,GO:0034220
GO:0005773,is_a,GO:0044444
GO:0005773,is_a,GO:0043231
GO:0015077,is_a,GO:0022890
GO:0015077,part_of,GO:0015672
GO:0036211,is_a,GO:0019538
GO:0036211,is_a,GO:0043412
GO:0070290,is_a,GO:0004620
GO:0070290,is_a,GO:0008081
GO:1901293,is_a,GO:0034654
GO:1901293,is_a,GO:0006753
GO:1901293,is_a,GO:0090407
GO:2001259,is_a,GO:0032414
GO:2001259,is_a,GO:2001257
GO:2001259,is_a,GO:1904064
GO:2001259,positively_regulates,GO:0005261
