toxprot_id	pmid	PID	PMID	SID	s_cui	s_type	s_name	predicate	o_cui	o_type	o_name
P26349	24828921	767435	24828921	157283580	C0011860	dsyn	Diabetes Mellitus, Non-Insulin-Dependent	PROCESS_OF	C0030705	humn	Patients
P81030	7570626	1163593	7570626	51542755	C0243192	phsu	agonists	CAUSES	C1140999	patf	Contraction
P13487	2482078	541001	2482078	35531088	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P13487	2482078	541001	2482078	35531088	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P01481	8626486	541001	8626486	39756484	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P01481	8626486	541001	8626486	39757684	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q8QGR0	8410188	541001	8410188	43595847	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P45666	8053002	541001	8053002	47045087	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P56710	7836370	541001	7836370	47247372	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9U655	8300586	541001	8300586	47593782	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P18511	8300586	541001	8300586	47593782	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9U655	8300586	541001	8300586	47594730	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P18511	8300586	541001	8300586	47594730	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P56708	8890263	541001	8890263	51459848	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P56853	7576642	541001	7576642	52649385	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P56852	7576642	541001	7576642	52649385	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9TVX3	9151979	541001	9151979	58206866	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9NJP7	9151979	541001	9151979	58206866	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9U8D2	9151979	541001	9151979	58206866	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9TVX3	9151979	541001	9151979	58207102	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9NJP7	9151979	541001	9151979	58207102	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9U8D2	9151979	541001	9151979	58207102	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P60237	10531397	541001	10531397	59395011	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9UAC8	10956424	541001	10956424	61960960	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9UAC9	10956424	541001	10956424	61960960	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q8I0L5	11457451	541001	11457451	62001610	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q8I0L5	11457451	541001	11457451	62002017	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P13494	11874465	541001	11874465	62017121	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P13494	11874465	541001	11874465	62017769	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P13494	11874465	541001	11874465	62018304	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P15226	10091586	541001	10091586	62222119	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9NII7	9354615	541001	9354615	63180916	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9NII7	9354615	541001	9354615	63180916	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9NII6	9354615	541001	9354615	63180916	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9NII5	9354615	541001	9354615	63180916	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P60615	10627589	541001	10627589	66083455	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q867F4	12473099	541001	12473099	68122278	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q8I0L5	12473099	541001	12473099	68122278	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P60208	12473099	541001	12473099	68122278	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
