Entry	Mapped PubMed ID	PubMed ID
Q26292		8431601; 2029523; 9275012; 15966742; 16551474; 17166514
Q90249	15134836; 8427634; 7758974; 11732689; 3176051; 11018293; 11829743; 12079495; 17346668; 18160090; 17157889; 19401234; 20371382; 24145104	15134836; 8427634; 7758974; 11732689; 3176051; 11018293; 11829743; 12079495; 17346668; 18160090; 17157889; 19401234; 20371382
P60266		10491073; 2435711; 9808476; 11524459; 15569679; 17166514
P00626		2048144; 3986212; 10377255; 11027615; 11085916; 11600150; 11931665; 12444963; 12846835; 15485650; 15488774; 16156665; 16039772; 16815622; 18261469; 21726572; 19857576
P08878		3174444; 1868083; 4084559; 2400773; 18495297; 8513799; 10903514; 11948110; 12657321; 18703042; 20109480; 21787789
P60274		24662800; 12419800; 15929983; 19098004
Q6LEM5		9037028; 4334402; 15245866; 20146532; 15912471; 18200607; 17315274; 22869554; 11994001; 17475904; 19491403; 21185808
X5IWS1		22742208; 24662800; 24497506; 26039939; 26817840
Q9PW56		12716428; 15922781; 22869554; 20146532; 15245866; 11994001; 17475904; 19491403; 21185808
P56855		10504388; 11312507; 15051809; 17071657; 20643084; 14744131
P83257		10971590; 15683238; 15726637
P56637	9753689; 10026198; 14672947; 15054090; 23999087	9753689; 10026198; 14672947; 15054090
Q56VR3		15351847; 16197456; 17239167; 12362232; 3075905; 11522026; 21184772
P00982		7429422; 2457792; 10698633
P56633	9417043; 12074021; 9438859; 9548922; 10818087; 10398696; 11820396; 12023223; 27093300	9417043; 12074021; 9438859; 9548922; 10818087; 10398696; 11820396; 12023223
Q6PXP0		15066171
P62022		3174444; 3753003; 8033889; 15032748; 8513799; 8630095; 10903514; 11948110; 18062812; 20109480; 21787789; 18275084
P81428		15930152; 17239167; 10397729; 11522026; 12871464
P01021	10604536; 10519653; 4730295; 4323853; 10866809; 11994001; 17714693; 23056909; 23082758	10604536; 10519653; 4730295; 4323853; 10866809; 11994001; 17714693
E3PQQ8		20923766; 20385188
P81383		17543361; 8080286; 9304806; 2619759; 2044840; 7886693; 21059402; 24297900
P59868		9108323; 1334561; 9565405; 11867448; 14699105; 14535845
P0CE79		15926888
P24027		2015302; 8033889; 15032748; 8513799; 8630095; 10903514; 18062812; 20109480; 21787789; 18275084
P17728		1801321; 2383565; 8756487; 9169449; 10678738; 16551474; 9054546
P83561		12860384; 17148449
P0C005	11006592; 11738089; 15635634; 25530580	11006592; 11738089; 15635634
Q90282	7733877; 19799929; 19371136; 17497365; 9210644; 10933502; 8645248; 16820695; 17485084; 16688218; 9578458	7733877; 19799929; 19371136; 17497365; 9210644; 10933502; 8645248; 16820695; 17485084
Q1L777		15983035; 21252227; 22914547; 23846688; 26330550
P30431		1385408; 12504907; 12165326; 8198592; 7831660; 7530003; 8973578; 9133658; 11323026; 12186858; 14613713; 14602113; 15530968; 16133875; 16083850; 16564063; 17046041; 18096518; 15922770; 11468397
P00981		8504088; 857902; 8612784; 9201909; 9134213; 10429207; 8254670
Q9BKB7		11136720; 8617371; 12719233; 12860380; 15137031; 16497878; 21205913; 12459475; 17269718; 12151390
O93523		12565741; 6819660; 18831982
G8XQX1		21802487
P45697	9248001; 8896191; 11322948; 12705833; 12692120; 15677695; 10089445; 10493862; 15321715; 16209876; 10600453	9248001; 8896191; 11322948; 12705833; 12692120; 15677695; 10089445; 10493862; 15321715; 16209876
P01391		18381281; 6771288; 6553056; 2086254; 9053737; 9305882; 9840221; 10574958; 10852927; 11867717; 6930640; 1939183; 2279844; 1317211; 12133834; 15791209; 22223648
Q86DU6		16325217; 15882064; 18522941; 21652775; 22733528; 22229737; 18798648
P83370		15930152; 12403650; 11522026
P14530		10371209; 7597726; 2753880; 9114455
B3EWH2		22613724
P83512	14500885; 7778126; 11200361; 20600221; 23385358; 19485419	14500885; 7778126; 11200361; 20600221; 23385358
P24335		1440639; 2048140; 7778124; 8533138; 8858103; 9223541; 10087048; 11724791; 8547337; 8770182
Q27J49		15876444; 16582429; 16277978
